parameter,symbol,value,prior,unit,test_source,measured_or_calibrated,notes
Masonry compressive strength (vertical),f_u,5.87,,MPa,WUP wallette compression (CEN 2002),measured,Table 3; CoV 5%
Masonry E-modulus (vertical),E_masonry,3550,,MPa,WUP,measured,Table 3; CoV 9%; E/f_u = 605
Masonry Poisson ratio,nu,0.2,,-,WUP,measured,Table 3; CoV 19%
Brick compressive strength (parallel to perforation),f_b_par,35,,MPa,unit tests (Table 3),measured,CoV 7%; Swiss hollow clay brick 300x190x195 mm
Brick compressive strength (perpendicular to perforation),f_b_perp,9.4,,MPa,unit tests (Table 3),measured,CoV 8%
Brick flexural tensile strength (perp. to perforation),f_b_ft,1.27,,MPa,unit tests (Table 3),measured,CoV 38% - very high scatter
Shear modulus of masonry,G_masonry,890,,MPa,,assumed,Petry & Beyer 2015: G = 0.25E; not measured (no shear tests; EC-6's 0.4E considered too high by authors); free parameter - NOT derivable from nu via isotropic formula (masonry anisotropic)
Mortar compressive strength (PUP walls mean),f_m,10.2,,MPa,mortar tests at wall test age (Table 4),measured,Per wall: PUP1 8.99 / PUP2 9.75 / PUP3 12.0 / PUP4 11.7 / PUP5 9.87 / PUP6 9.02 MPa; WUP 10.5 QUP 14.5 TUP 13.3; WEBER MUR MAXIT 920; joints 10-12 mm
Mortar flexural tensile strength (PUP walls mean),f_m_ft,2.5,,MPa,mortar tests (Table 4),measured,Per wall: 2.54 / 2.35 / 2.73 / 2.66 / 2.56 / 2.13 MPa
Joint cohesion (bed joint),c,0.27,,MPa,TUP triplet tests (CEN 2007),measured,"Table 3 intercept of sigma_peak = 0.94*sigma + 0.27; Fig 6 annotation says 0.28 - use 0.27 (table is authority); TUP1 & TUP9 excluded (bricks fractured) || [Decision 008, W4D3 2026-07-27] HELD AT PRIOR: c x0.80 moves +peak 204.6->204.5 kN (near-inert). PUP2 cohesion is not peak-controlling. Unfalsified, not calibrated."
Joint friction coefficient (peak),mu_peak,0.94,,-,TUP triplet tests,measured,"Table 3 slope of peak envelope; applies to bed and head joints (single friction law) || [Decision 008, W4D3 2026-07-27] HELD AT MEASURED (TUP): mu 0.94->0.80 moves +peak 204.6->204.2 kN. Peak not friction-controlled. Not adjusted."
Joint friction coefficient (residual),mu_res,0.91,,-,TUP triplet tests,measured,"Residual envelope 0.91*sigma; zero residual cohesion; applies to bed and head joints || [Decision 008, W4D3 2026-07-27] HELD AT MEASURED (TUP): moved with mu_peak in probe; peak near-inert. Not adjusted."
Diagonal tensile strength,f_t_diag,0.5,,MPa,QUP diagonal compression (RILEM 1991),measured,Table 3; CoV 10%
Joint tensile strength (bed joint),f_t_joint,,0.14,MPa,,calibrated,"prior: Wilding 2017 Table 3, PUP hor. joint, via their Eq.1 f_t = c/(2*tan_phi) = 0.27/(2*0.94) = 0.14 MPa; ties f_t to measured c and mu - consider adopting as constraint instead of free parameter || [Decision 008, W4D3 2026-07-27] HELD AT PRIOR, not calibrated: PUP2 peak is rocking-controlled; f_t_joint 0.14->0.02 moves +peak only 204.6->202.7 kN. Unfalsified by PUP2, not fitted."
Mode-I fracture energy (bed joint),G_fI,,0.125,N/mm,,calibrated,"prior: Wilding 2017 Table 3, PUP hor. joint, 125 J/m2 = 0.125 N/mm (UNITS: 1 J/m2 = 0.001 N/mm - prior column is in N/mm, never copy 125); value ASSUMED by Wilding, not measured - weak prior, expect calibration to move it || [Decision 008, W4D3 2026-07-27] HELD AT PRIOR: not exercised at/before peak (rocking mechanism). Unfalsified, not calibrated."
